n    R   sigma N_total   N_success  N_success/N_total   time(s) 
1    1.0    0.0   10000  10000   1.0  0.02501058578491211
2    1.6120336423597013    0.27703345628373977   10000  10000   1.0  0.03000664710998535
3    2.0544016129023595    0.6028548854444022   10000  10000   1.0  0.03600788116455078
4    2.56304152894179    0.7049951212027866   10813  10000   0.9248127254231018  0.052011966705322266
5    2.9663544086748037    0.9199682180029672   11322  10000   0.8832361773538244  0.05401206016540527
6    3.390970867666889    1.0374567820562293   12387  10000   0.8072979736820861  0.06701493263244629
7    3.743232523912897    1.2210693149533667   13380  10000   0.7473841554559043  0.08301997184753418
8    4.1293104349086995    1.347885504096741   14884  10000   0.6718624025799517  0.09702205657958984
9    4.500328838200646    1.510311341432494   16081  10000   0.6218518748834028  0.11402463912963867
10    4.868608653090619    1.6339674975504097   17710  10000   0.564652738565782  0.13703107833862305
11    5.152773898221175    1.772377260577036   19803  10000   0.5049739938393173  0.16532278060913086
12    5.549607937427685    1.868970770461551   21602  10000   0.4629200999907416  0.1920466423034668
13    5.831683961145268    2.0247128629316875   24004  10000   0.4165972337943676  0.22805523872375488
14    6.194826749085635    2.1209718406459577   26302  10000   0.3801992243935822  0.265061616897583
15    6.458415942446105    2.2662002370395236   29976  10000   0.33360021350413666  0.3190724849700928
16    6.814298401320777    2.3593510331777905   33351  10000   0.29984108422536054  0.377086877822876
17    7.083777663163943    2.506250988799723   36677  10000   0.2726504348774436  0.4350886344909668
18    7.428302952348358    2.606744185403062   41525  10000   0.2408187838651415  0.5161173343658447
19    7.6854299036970986    2.701141831773815   45732  10000   0.21866526720895654  0.6033196449279785
20    8.03765858303784    2.8123023490581773   51816  10000   0.1929905820595955  0.7091970443725586
21    8.281421249422689    2.940486709646951   58328  10000   0.17144424633109312  0.8320717811584473
22    8.58647225708748    3.0185582946610507   65088  10000   0.15363815142576204  0.9692203998565674
23    8.83134760591845    3.156152636270694   72122  10000   0.1386539474778847  1.1222631931304932
24    9.122959855745648    3.2799700410908237   81438  10000   0.1227927994302414  1.3228623867034912
25    9.39749667701988    3.385300017044326   91217  10000   0.10962868763498032  1.5414509773254395
26    9.686510335766624    3.4809937539568185   103122  10000   0.09697251798840209  1.8099846839904785
27    9.934891368453556    3.5854056251736743   115776  10000   0.08637368711995577  2.0994889736175537
28    10.24133281773898    3.66934627914872   129685  10000   0.0771099201912326  2.4385030269622803
29    10.529395550341597    3.7982929513725723   143035  10000   0.0699129583668333  2.8240394592285156
30    10.72022073642118    3.8394879036670195   161917  10000   0.06176003755010283  3.300035238265991
31    11.015685277606913    3.9690651121787264   185108  10000   0.05402251658491259  3.855532646179199
32    11.26543436809333    4.072933647652709   206289  10000   0.048475682174037395  4.428408622741699
33    11.521880868811719    4.146644576631869   234420  10000   0.042658476239228735  5.200082063674927
34    11.867206777828331    4.187935445092884   269298  10000   0.03713358435636358  6.257533550262451
35    12.090184881369366    4.365939708047699   292402  10000   0.03419949247953161  7.04762601852417
36    12.39649592945175    4.399510048981159   333637  10000   0.029972694874968904  8.418640375137329
37    12.601631351402474    4.525802391107044   371088  10000   0.026947785969904714  9.381058692932129
38    12.85592602813351    4.654284688237212   428455  10000   0.02333967394475499  11.37042784690857
39    13.111969410393701    4.665132171857497   471086  10000   0.021227546562623385  12.62725043296814
40    13.280068115831233    4.842291899388418   541877  10000   0.018454372486745148  14.940500736236572
41    13.535268255463208    4.9728576545734695   611389  10000   0.01635619875398478  17.103804349899292
42    13.696660846047697    5.0568054805720974   693999  10000   0.014409242664614791  20.02196478843689
43    13.980561949226589    5.064137397804057   757095  10000   0.013208382039242104  22.46569299697876
44    14.352473151531626    5.1097078619588245   872464  10000   0.011461790973610372  26.561575889587402
45    14.516724330702647    5.291834720244555   982912  10000   0.010173850761817945  30.378796815872192
46    14.788385086643547    5.3290399256469   1122032  10000   0.008912401785332326  35.46188688278198
47    14.90907054323001    5.463480167163709   1254603  10000   0.00797064888255488  40.2503604888916
48    15.20128330151692    5.54472596139997   1405248  10000   0.007116181627726921  45.64496827125549
49    15.40782636981295    5.661597526996834   1595115  10000   0.006269140469495929  53.65914177894592
50    15.605892259353725    5.6963257271195005   1787583  10000   0.005594145838263174  61.147088289260864
51    15.8909820540839    5.775732798250234   2030893  10000   0.00492394232487876  70.23199796676636
52    16.059294464110792    5.829825153036796   2313963  10000   0.004321590276076152  81.55602312088013
53    16.422501330555217    5.926976467636102   2612286  10000   0.003828064767793419  94.72584819793701
54    16.53203985631078    6.05738047256005   2918539  10000   0.0034263718936084118  107.05025243759155
55    16.814820798989288    6.23693847154814   3411900  10000   0.002930918256689821  127.69718194007874
56    17.028053965651328    6.21420776470067   3780420  10000   0.002645208733421154  146.14007759094238
57    17.3055775054833    6.351738911645413   4271092  10000   0.0023413216104921177  169.03966164588928
58    17.45196743136051    6.375424125086265   4780464  10000   0.0020918471512388756  189.58418774604797
