n    R   sigma N_total   N_success  N_success/N_total   time(s) 
1    1.0    0.0   10000  10000   1.0  0.02600574493408203
2    1.7320508075688776    nan   10000  10000   1.0  0.03200697898864746
3    2.324102583023318    0.3228733243616473   10000  10000   1.0  0.038008928298950195
4    2.7956783671164276    0.6432592538294528   10000  10000   1.0  0.04501056671142578
5    3.189245223735464    0.9878840533587577   10000  10000   1.0  0.052011966705322266
6    3.72770280880861    1.0259784448030074   10685  10000   0.9358914365933552  0.06301355361938477
7    4.145798693744836    1.1932531964941935   11027  10000   0.9068649678062937  0.07202935218811035
8    4.51390172790763    1.4003182462542278   11425  10000   0.87527352297593  0.08303451538085938
9    4.837158942777493    1.6295684589202526   11912  10000   0.8394895903290799  0.09602189064025879
10    5.348829653716994    1.70080020446781   12618  10000   0.7925186241876684  0.11502552032470703
11    5.648737154696777    1.871301300471989   13117  10000   0.7623694442326752  0.1450340747833252
12    6.024083403214565    2.0133353300220076   13869  10000   0.7210325185665873  0.1400318145751953
13    6.345521625684031    2.1802878933701133   14718  10000   0.6794401413235494  0.15703582763671875
14    6.718439327885448    2.287350650320614   15569  10000   0.6423020104052926  0.18804335594177246
15    7.049141774182914    2.4344198995796433   16414  10000   0.6092360180333861  0.1990809440612793
16    7.403111143228198    2.5681209864432946   17493  10000   0.5716572343223003  0.2250516414642334
17    7.664834544328629    2.7002798758770434   18453  10000   0.5419173034194982  0.24905610084533691
18    7.981948461838119    2.798392172759224   19645  10000   0.5090353779587682  0.2800636291503906
19    8.371113944845929    2.9295821071282555   21148  10000   0.47285795347077736  0.3150761127471924
20    8.619515247848256    3.0591921960072117   22283  10000   0.4487726069200736  0.3495936393737793
21    8.95988774811279    3.1746041550433213   24056  10000   0.4156967076820752  0.39308977127075195
22    9.308838866413783    3.2942099142501764   25161  10000   0.39744048328762765  0.438326358795166
23    9.527752716880457    3.3936157952804678   27025  10000   0.3700277520814061  0.47913217544555664
24    9.843113038393978    3.542403945542979   29374  10000   0.34043712126370257  0.5441226959228516
25    10.159488218186118    3.6645325956440153   31188  10000   0.32063614210593816  0.6181991100311279
26    10.442501819278446    3.7144253599132044   33104  10000   0.30207829869502173  0.6611893177032471
27    10.68133097930913    3.9013290697467533   35252  10000   0.2836718484057642  0.7561497688293457
28    11.062275485052512    3.9325514736372136   37560  10000   0.26624068157614483  0.8311936855316162
29    11.392760978231049    4.051122966893985   39765  10000   0.2514774299006664  0.8752498626708984
30    11.652865479492112    4.18970477681436   43583  10000   0.22944726154693343  1.0172538757324219
31    11.859157008464951    4.263120341789171   46147  10000   0.21669881032353133  1.1012537479400635
32    12.176720478699112    4.382474002618801   48936  10000   0.20434853686447604  1.2552955150604248
33    12.446644150967831    4.544441591568568   53413  10000   0.18722033961769607  1.353391408920288
34    12.706959637071048    4.591152010318024   57799  10000   0.1730133739338051  1.5118613243103027
35    13.060025586785665    4.689086443274824   59919  10000   0.1668919708272835  1.6262445449829102
36    13.315815119920735    4.746216144687296   64407  10000   0.15526262673311908  1.8249433040618896
37    13.56518912180195    4.925489223391525   70018  10000   0.1428204176069011  2.066866874694824
38    13.782535416746185    4.98390584643581   76001  10000   0.13157721608926198  2.3325705528259277
39    14.012494142229349    5.125066625321878   80167  10000   0.12473960607232402  2.4375951290130615
40    14.331892126728993    5.213527411245048   86393  10000   0.11575011864387161  2.6803195476531982
41    14.592452453109004    5.293829559378825   91878  10000   0.10883998345632251  2.8947486877441406
42    14.792945202684624    5.325896378110447   99124  10000   0.10088374157620758  3.164179801940918
43    15.189838095655697    5.504390849836785   109014  10000   0.09173133725943457  3.6122665405273438
44    15.422420759890432    5.628182469048122   116644  10000   0.08573094201159083  3.999471426010132
45    15.616979939502599    5.6528167818507455   121457  10000   0.08233366541245049  4.159601926803589
46    15.761235180406022    5.783412970550482   134704  10000   0.07423684523102506  4.746949911117554
47    16.14886345931622    5.872044701154902   142404  10000   0.07022274655206315  5.107208728790283
48    16.35550353358594    5.971608172247897   156922  10000   0.0637259275308752  5.796168088912964
49    16.613957876958132    6.0771213302566895   163883  10000   0.06101914170475278  6.202581167221069
50    16.871061345313706    6.143149768861382   180481  10000   0.055407494417694936  6.989109039306641
51    17.135114777601494    6.246706456879732   189022  10000   0.052903894784734055  7.443676233291626
52    17.441394388994865    6.391350543315428   208058  10000   0.048063520749021905  8.299933910369873
53    17.583473926464432    6.475858605416387   219430  10000   0.04557261996992207  8.887363195419312
54    17.86356126684136    6.512018033283166   233263  10000   0.04287006511962892  9.69993805885315
55    18.036347478017838    6.605707354417056   256338  10000   0.03901099329791135  10.9268958568573
56    18.313052845975008    6.7395026122501545   274599  10000   0.036416738589725384  11.883098125457764
57    18.573889892312582    6.874490109691663   299105  10000   0.03343307534143528  13.335831642150879
