n    R   sigma N_total   N_success  N_success/N_total   time(s) 
1    1.0    0.0   10000  10000   1.0  0.02600550651550293
2    1.4960839091650746    0.412350502288222   10000  10000   1.0  0.0310060977935791
3    1.975963529244004    0.5854640305753892   10937  10000   0.9143275121148395  0.04100799560546875
4    2.41141668252912    0.7472413152524787   12206  10000   0.8192692118630182  0.054010868072509766
5    2.8150980791845455    0.9037824984870433   13735  10000   0.728066982162359  0.06801605224609375
6    3.2185359184110207    1.038280569931908   15793  10000   0.6331919204710947  0.08801817893981934
7    3.582368494533547    1.179888117311742   18125  10000   0.5517241379310345  0.11202549934387207
8    3.9296441253629637    1.3213618157039146   20930  10000   0.47778308647873863  0.14403223991394043
9    4.287542014976276    1.437213787094032   24369  10000   0.41035742131396447  0.18268465995788574
10    4.669704338768901    1.5667678157541074   28347  10000   0.35277101633329805  0.22705292701721191
11    4.9717764787945224    1.6834900192473787   33621  10000   0.2974331518991107  0.29506683349609375
12    5.278970121880797    1.8161427400647345   39080  10000   0.25588536335721596  0.3790860176086426
13    5.59023856802153    1.9140879688782841   45249  10000   0.2209993591018586  0.48571181297302246
14    5.971589357090305    2.049639126843017   53631  10000   0.18645932389849154  0.5652511119842529
15    6.234517073062808    2.147067038005186   63876  10000   0.15655332206149414  0.7377684116363525
16    6.513151938009769    2.260608730497073   74730  10000   0.13381506757660913  0.9112324714660645
17    6.8445519018774705    2.3965619671741223   88541  10000   0.11294202685761398  1.146146297454834
18    7.121782447907566    2.5203203694522096   106019  10000   0.09432271573963158  1.4111149311065674
19    7.373220585343984    2.6009840829693136   123783  10000   0.08078653773135244  1.7575252056121826
20    7.613835393064387    2.7024082976708144   148920  10000   0.067150147730325  2.203030586242676
21    7.907346923603858    2.8165341520692784   174513  10000   0.05730232131703655  2.732095241546631
22    8.158939328314753    2.9139164430159634   204818  10000   0.04882383384272867  3.2967476844787598
23    8.504949139334817    3.0335688779600742   246944  10000   0.04049501101464299  4.21982741355896
24    8.767491614315169    3.099788830374285   292145  10000   0.034229577778158105  5.225753545761108
25    9.046276748020901    3.200558857171101   340468  10000   0.02937133592584325  6.333951711654663
26    9.215963732924317    3.325524390742561   411207  10000   0.024318652163022515  8.278430461883545
27    9.546777259030376    3.425236337314618   485289  10000   0.02060627790862764  9.735770225524902
28    9.860405892370267    3.503611798945442   584344  10000   0.01711320728885725  12.244190454483032
29    10.013721746659758    3.6110354166739267   700110  10000   0.014283469740469354  15.094760656356812
30    10.311656984557633    3.7176242726805753   837506  10000   0.011940212965638455  18.810531616210938
31    10.579105036705304    3.841827250457322   973760  10000   0.010269470916858363  22.023236751556396
32    10.86311666575265    3.9030239950898395   1148984  10000   0.00870334138682523  27.14686894416809
33    11.059875726628032    4.011302645219387   1403203  10000   0.0071265526085676845  34.485925912857056
34    11.294871836720544    4.085935656866992   1659779  10000   0.006024898495522597  42.035972595214844
35    11.561662109076234    4.18874316180294   1994462  10000   0.005013883443254371  50.584492921829224
36    11.751705218891148    4.259650742524151   2361288  10000   0.004234976843146622  60.990036487579346
37    12.045805780378435    4.3831339360555095   2838026  10000   0.0035235758939488222  76.57696390151978
38    12.291834203112447    4.389648268733498   3392323  10000   0.0029478325029780477  94.79211640357971
39    12.520785516214325    4.576716077817978   4038226  10000   0.0024763349054758204  113.71719789505005
40    12.728192450406816    4.623896294836958   4780425  10000   0.0020918642170936683  139.84204816818237
41    12.866186864848293    4.71602963930521   5752984  10000   0.0017382283698338114  172.27343225479126
42    13.26718666092556    4.8164881505261565   6894316  10000   0.001450470213433791  217.94611501693726
43    13.439659271692296    4.952005519061475   8280593  10000   0.0012076429791924323  261.27684593200684
44    13.701004152105027    5.018185451336052   9715558  10000   0.0010292769596970139  314.92696475982666
45    14.049547180915265    5.048556626525637   11725114  10000   0.0008528701725202842  388.0493149757385
46    14.181545044287791    5.079663390111237   14058859  10000   0.000711295276522796  494.0209138393402
47    14.36481417601146    5.19129210203589   16679300  10000   0.0005995455444772862  576.0288877487183
48    14.579513085938812    5.333563365793917   20357936  10000   0.0004912089319860323  716.6372721195221
49    14.850162408254834    5.374958274112924   24262619  10000   0.00041215665959227235  871.2668266296387
50    15.026458899981055    5.474452751388047   29052157  10000   0.0003442085212468045  1059.0516765117645
51    15.255212067178869    5.604016843782703   34870457  10000   0.00028677570815891515  1277.7477133274078
52    15.393703847784698    5.560304114587493   41598793  10000   0.0002403915902079178  1552.067344903946
53    15.762125773074576    5.7473464410785455   48988035  10000   0.0002041314782272855  1875.1660006046295
54    15.958133571647867    5.877811915113077   57827715  10000   0.00017292746220389307  2275.084266424179
55    16.203095482622533    5.866438168174729   71370320  10000   0.00014011426598619706  2833.19322681427
56    16.301528117972886    5.950880692715943   84198152  10000   0.00011876745228327577  3380.6241567134857
